composition,K,spectra,looks
HHb,3,28,843
Vtt,3,28,838
HHH,3,28,828
bbt,3,28,824
Hbt,3,28,794
HHt,3,28,786
TTT,3,28,766
btt,3,28,751
Htt,3,28,749
ttt,3,28,715
eegg,4,4,850
Zeeg,4,4,689
ZZee,4,4,551
gggg,4,2,542
eggg,4,2,473
Zggg,4,2,401
eggm,4,4,401
eegj,4,4,392
eeeg,4,2,389
Zegm,4,4,374
Zegg,4,2,370
Zeej,4,4,367
eeee,4,2,361
Veeg,4,4,330
ZZem,4,4,328
Zeee,4,2,324
ZZgg,4,2,308
ggmm,4,4,300
egjm,4,4,297
eejj,4,4,293
VZee,4,4,292
ZZeg,4,2,291
Zgmm,4,4,286
Zejm,4,4,283
Vegm,4,4,265
Veej,4,4,262
ZZmm,4,4,256
ZZZg,4,2,251
gjmm,4,4,249
ejjm,4,4,246
Heeg,4,4,240
ZZZe,4,2,239
Zjmm,4,4,239
VZem,4,4,238
Vgmm,4,4,228
Vejm,4,4,226
eegt,4,4,223
VVee,4,4,223
HZee,4,4,218
jjmm,4,4,217
beeg,4,4,211
ZZZZ,4,2,211
Hegm,4,4,209
Heej,4,4,207
VZmm,4,4,205
gggj,4,2,205
gggm,4,2,205
Zbee,4,4,204
Zeet,4,4,203
Vjmm,4,4,201
eggj,4,2,200
eegm,4,2,196
VVem,4,4,196
egmt,4,4,194
eejt,4,4,192
eeej,4,2,192
eeem,4,2,192
begm,4,4,191
Zggj,4,2,191
Zggm,4,2,191
beej,4,4,190
HZem,4,4,190
Zegj,4,2,187
Hgmm,4,4,187
Hejm,4,4,186
Zbem,4,4,185
Zeem,4,2,183
HVee,4,4,181
Vbee,4,4,179
Tegg,4,4,178
Zemt,4,4,177
VVmm,4,4,176
bgmm,4,4,176
bejm,4,4,176
gmmt,4,4,174
TZeg,4,4,173
ejmt,4,4,173
Zbmm,4,4,171
HZmm,4,4,171
Hjmm,4,4,170
Vggg,4,2,170
Veet,4,4,169
Vegg,4,2,167
ZZgj,4,2,167
ZZgm,4,2,167
Vbem,4,4,166
Tggm,4,4,166
Tegj,4,4,165
HVem,4,4,164
ZZej,4,2,164
bjmm,4,4,164
Veee,4,2,162
TZgm,4,4,161
TZej,4,4,160
Zmmt,4,4,159
jmmt,4,4,158
TZZe,4,4,157
TVeg,4,4,157
Vbmm,4,4,156
Tgjm,4,4,155
Tejj,4,4,155
Hbee,4,4,154
Vemt,4,4,154
HHee,4,4,153
bbee,4,4,151
HVmm,4,4,151
TZjm,4,4,151
VZgg,4,2,150
ggjj,4,2,150
ggjm,4,2,150
ZZZj,4,2,149
ZZZm,4,2,149
egjj,4,2,148
egmm,4,2,148
VZeg,4,2,148
TVgm,4,4,148
TVej,4,4,147
eejm,4,2,147
eemm,4,2,147
TZZm,4,4,147
Tjjm,4,4,146
Hbem,4,4,145
Heet,4,4,144
bbem,4,4,144
beet,4,4,143
Zgjj,4,2,143
Zgjm,4,2,143
TVZe,4,4,143
HHem,4,4,142
Zejj,4,2,142
Zemm,4,2,142
Vmmt,4,4,141
TVjm,4,4,140
HTeg,4,4,138
Tbeg,4,4,138
bbmm,4,4,137
Hbmm,4,4,137
eett,4,4,136
TVZm,4,4,135
VZZg,4,2,135
bemt,4,4,135
TZbe,4,4,134
Vggj,4,2,134
Vggm,4,2,134
Hemt,4,4,133
VZZe,4,2,133
Vegj,4,2,132
HHmm,4,4,132
TVVe,4,4,132
Tbgm,4,4,132
Tbej,4,4,132
Veem,4,2,131
HTgm,4,4,131
HTej,4,4,131
TZbm,4,4,128
Tegt,4,4,128
ZZjj,4,2,128
ZZjm,4,2,128
TTgg,4,4,127
bmmt,4,4,127
HTZe,4,4,127
TVbe,4,4,126
Tbjm,4,4,126
TVVm,4,4,126
emtt,4,4,125
HTjm,4,4,125
gjjj,4,2,124
gjjm,4,2,124
gmmm,4,2,124
Hmmt,4,4,124
TTZg,4,4,124
ejjj,4,2,123
ejmm,4,2,123
emmm,4,2,123
Hggg,4,2,122
TTgj,4,4,122
Tgmt,4,4,122
VZZZ,4,2,122
TVbm,4,4,122
Tejt,4,4,121
Hegg,4,2,121
HTZm,4,4,120
VZgj,4,2,120
VZgm,4,2,120
Zjjj,4,2,119
Zjjm,4,2,119
Zmmm,4,2,119
TTZj,4,4,119
Heee,4,2,119
VZej,4,2,119
TZet,4,4,118
HTVe,4,4,118
TTjj,4,4,118
TTVg,4,4,118
mmtt,4,4,117
Tbbe,4,4,116
Tjmt,4,4,116
Vgjj,4,2,114
Vgjm,4,2,114
HTbe,4,4,114
gggt,4,2,114
TTVj,4,4,114
VVgg,4,2,113
TTZZ,4,4,113
Vejj,4,2,113
Vemm,4,2,113
HTVm,4,4,113
Tbbm,4,4,113
eggt,4,2,113
TZmt,4,4,113
VVeg,4,2,112
HZgg,4,2,111
eeet,4,2,111
TVet,4,4,110
TTbg,4,4,110
HTbm,4,4,110
HZeg,4,2,110
VZZj,4,2,109
VZZm,4,2,109
jjjj,4,2,108
jjjm,4,2,108
jmmm,4,2,108
mmmm,4,2,108
TTVZ,4,4,108
TTZb,4,4,107
bggg,4,2,107
HTTg,4,4,107
HHTe,4,4,107
TTbj,4,4,107
begg,4,2,106
Tbet,4,4,106
TVmt,4,4,106
Hggj,4,2,105
Hggm,4,2,105
beee,4,2,105
Hegj,4,2,104
Heem,4,2,104
Zggt,4,2,104
HTTj,4,4,103
TTVb,4,4,103
Zbgg,4,2,103
VVZg,4,2,103
TTVV,4,4,103
VZjj,4,2,103
VZjm,4,2,103
Zegt,4,2,103
Zbeg,4,2,102
HHTm,4,4,102
VVZe,4,2,102
Tbmt,4,4,102
HZZg,4,2,101
Vjjj,4,2,101
Vjjm,4,2,101
Vmmm,4,2,101
HZZe,4,2,100
HTet,4,4,100
TTgt,4,4,99
VVgj,4,2,98
VVgm,4,2,98
HTTZ,4,4,98
TTbb,4,4,98
VVej,4,2,98
ggjt,4,2,98
ggmt,4,2,98
egjt,4,2,97
eemt,4,2,96
HTmt,4,4,96
bggj,4,2,96
bggm,4,2,96
TTjt,4,4,96
begj,4,2,96
HZgj,4,2,96
HZgm,4,2,96
beem,4,2,95
HZej,4,2,95
ZZgt,4,2,95
Tett,4,4,94
HTTb,4,4,94
VVZZ,4,2,94
ZZet,4,2,94
HTTV,4,4,94
Hgjj,4,2,93
Hgjm,4,2,93
ZZbg,4,2,93
Zbgj,4,2,93
Zbgm,4,2,93
Hejj,4,2,93
Hemm,4,2,93
ZZbe,4,2,93
Zbej,4,2,93
HZZZ,4,2,93
TTZt,4,4,92
HVgg,4,2,92
HVeg,4,2,91
Tmtt,4,4,91
Vbgg,4,2,90
Vbeg,4,2,90
VVZj,4,2,90
VVZm,4,2,90
Tggg,4,2,89
Zgjt,4,2,89
Zgmt,4,2,89
Zejt,4,2,89
Teeg,4,2,89
VVjj,4,2,88
VVjm,4,2,88
Teee,4,2,88
bgjj,4,2,88
bgjm,4,2,88
TTVt,4,4,88
bejj,4,2,88
bemm,4,2,88
HZZj,4,2,88
HZZm,4,2,88
TTbt,4,4,88
ZZZt,4,2,87
gjjt,4,2,87
gjmt,4,2,87
TZgg,4,2,87
HHTT,4,4,87
VVVg,4,2,87
ejjt,4,2,86
emmt,4,2,86
VVVe,4,2,86
TZee,4,2,86
Vggt,4,2,86
Zbjj,4,2,86
Zbjm,4,2,86
ZZZb,4,2,85
HZjj,4,2,85
HZjm,4,2,85
Vegt,4,2,85
Hjjj,4,2,85
Hjjm,4,2,85
Hmmm,4,2,85
ZZbj,4,2,85
ZZbm,4,2,85
HVZg,4,2,84
HVZe,4,2,84
Vbgj,4,2,83
Vbgm,4,2,83
Vbej,4,2,83
Tggj,4,2,83
Tegm,4,2,83
HVgj,4,2,83
HVgm,4,2,83
ZZjt,4,2,82
ZZmt,4,2,82
Teej,4,2,82
Teem,4,2,82
HVej,4,2,82
VZbg,4,2,82
bjjj,4,2,82
bjjm,4,2,82
bmmm,4,2,82
VZbe,4,2,82
HTTt,4,4,81
TZgj,4,2,80
TZem,4,2,80
Zjjt,4,2,80
Zjmt,4,2,80
VVVZ,4,2,80
VZgt,4,2,79
jjjt,4,2,79
jjmt,4,2,79
mmmt,4,2,79
TZZg,4,2,79
TVgg,4,2,79
VZet,4,2,79
VVVj,4,2,78
VVVm,4,2,78
TVee,4,2,78
Vbjj,4,2,78
Vbjm,4,2,78
Hbgg,4,2,78
HVZZ,4,2,78
Tgjj,4,2,78
Tgmm,4,2,78
Hbeg,4,2,77
HHgg,4,2,77
Tejm,4,2,77
Temm,4,2,77
Vgjt,4,2,77
Vgmt,4,2,77
HHeg,4,2,77
Vejt,4,2,77
TTtt,4,4,77
bbgg,4,2,76
bbeg,4,2,76
HVZj,4,2,76
HVZm,4,2,76
VZbj,4,2,76
VZbm,4,2,76
HVjj,4,2,76
HVjm,4,2,76
TZjj,4,2,75
TZmm,4,2,75
VZZb,4,2,75
Zbbg,4,2,74
VVbg,4,2,74
TVgj,4,2,74
Zbbe,4,2,74
VVbe,4,2,74
TVem,4,2,74
HVVg,4,2,74
HVVe,4,2,73
VZZt,4,2,73
TZZj,4,2,73
Tjjj,4,2,73
Tjmm,4,2,73
Tmmm,4,2,73
Hbgj,4,2,73
Hbgm,4,2,73
Hggt,4,2,73
Hbej,4,2,72
Hegt,4,2,72
TZZZ,4,2,72
bggt,4,2,72
bbgj,4,2,72
bbgm,4,2,72
begt,4,2,72
bbej,4,2,72
TVZg,4,2,72
HHZg,4,2,72
VZjt,4,2,71
VZmt,4,2,71
HZbg,4,2,71
HHZe,4,2,71
HHgj,4,2,71
HHgm,4,2,71
HZbe,4,2,71
HHej,4,2,71
Vjjt,4,2,71
Vjmt,4,2,71
VVVV,4,2,70
Zbbj,4,2,70
Zbbm,4,2,70
TVjj,4,2,70
TVmm,4,2,70
VVbj,4,2,69
VVbm,4,2,69
VVgt,4,2,69
HTgg,4,2,69
Tbgg,4,2,69
Vbbg,4,2,69
VVet,4,2,69
Vbbe,4,2,69
HTee,4,2,69
Tbee,4,2,69
bbjj,4,2,69
bbjm,4,2,69
Hbjj,4,2,68
Hbjm,4,2,68
ggtt,4,2,68
HVVZ,4,2,68
egtt,4,2,68
VVZb,4,2,68
HVVj,4,2,68
HVVm,4,2,68
ZZbb,4,2,68
bgjt,4,2,68
bgmt,4,2,68
HZgt,4,2,67
TVZj,4,2,67
bejt,4,2,67
TZbg,4,2,67
HZet,4,2,67
Hgjt,4,2,67
Hgmt,4,2,67
HZbj,4,2,67
HZbm,4,2,67
Zbgt,4,2,67
Hejt,4,2,67
HHZZ,4,2,66
Zbet,4,2,66
HHjj,4,2,66
HHjm,4,2,66
TVVg,4,2,66
Tbgj,4,2,66
TVZZ,4,2,66
HHZj,4,2,66
HHZm,4,2,66
Tbem,4,2,66
HZZb,4,2,66
Vbbj,4,2,66
Vbbm,4,2,66
HTgj,4,2,66
HTem,4,2,65
HVbg,4,2,65
HVbe,4,2,65
VVZt,4,2,64
HHVg,4,2,64
TZbj,4,2,64
Tggt,4,2,64
HHVe,4,2,64
VVjt,4,2,64
VVmt,4,2,64
Teet,4,2,64
Zgtt,4,2,64
bjjt,4,2,64
bjmt,4,2,64
TTeg,4,2,63
Zett,4,2,63
HTZg,4,2,63
TTee,4,2,63
TVbg,4,2,63
Tbjj,4,2,63
Tbmm,4,2,63
gjtt,4,2,63
gmtt,4,2,63
VZbb,4,2,63
HZZt,4,2,63
TVVj,4,2,63
ejtt,4,2,63
VVVb,4,2,63
bbbg,4,2,62
HTjj,4,2,62
HTmm,4,2,62
Zbjt,4,2,62
Zbmt,4,2,62
bbbe,4,2,62
Hjjt,4,2,62
Hjmt,4,2,62
HZjt,4,2,62
HZmt,4,2,62
TTZe,4,2,62
ZZbt,4,2,62
HVbj,4,2,62
HVbm,4,2,62
HVVV,4,2,62
Hbbg,4,2,62
Hbbe,4,2,61
TZZb,4,2,61
TTgm,4,2,61
Vbgt,4,2,61
TTej,4,2,61
TTem,4,2,61
TVVZ,4,2,61
Vbet,4,2,61
Zbbb,4,2,61
Tgjt,4,2,61
TVbj,4,2,61
Temt,4,2,61
HVgt,4,2,61
HVZb,4,2,60
HVet,4,2,60
HTZj,4,2,60
bbbj,4,2,60
bbbm,4,2,60
HHVj,4,2,60
HHVm,4,2,60
HHVZ,4,2,60
TTZm,4,2,60
ZZtt,4,2,60
TZgt,4,2,59
HTVg,4,2,59
VVbb,4,2,59
Hbbj,4,2,59
Hbbm,4,2,59
TTjm,4,2,59
TTmm,4,2,59
TTVe,4,2,59
Zjtt,4,2,59
Zmtt,4,2,59
HTZZ,4,2,59
jjtt,4,2,59
jmtt,4,2,59
HHbg,4,2,58
Tbbg,4,2,58
HHbe,4,2,58
VVVt,4,2,58
Tjjt,4,2,58
Tmmt,4,2,58
Vbbb,4,2,58
TVZb,4,2,58
Vbjt,4,2,58
Vbmt,4,2,58
Vgtt,4,2,57
bbgt,4,2,57
Vett,4,2,57
bbet,4,2,57
HTbg,4,2,57
HHHg,4,2,57
TVVV,4,2,57
TZbb,4,2,57
TTVm,4,2,57
HHHe,4,2,57
VZbt,4,2,57
HVjt,4,2,57
HVmt,4,2,57
HZbb,4,2,57
HVZt,4,2,57
HTVj,4,2,56
Tbbj,4,2,56
TZjt,4,2,56
HVVb,4,2,56
HHbj,4,2,56
HHbm,4,2,56
TVgt,4,2,55
TZZt,4,2,55
HTbj,4,2,55
TTbe,4,2,55
TVVb,4,2,55
HHVV,4,2,55
HTVZ,4,2,55
Hbgt,4,2,55
bbjt,4,2,55
bbmt,4,2,55
Hbet,4,2,55
TVbb,4,2,54
HHZb,4,2,54
bbbb,4,2,54
HHgt,4,2,54
HHHj,4,2,54
HHHm,4,2,54
HHet,4,2,54
VZtt,4,2,54
Vjtt,4,2,53
Vmtt,4,2,53
HVbb,4,2,53
HHTg,4,2,53
TTbm,4,2,53
HTTe,4,2,53
HHHZ,4,2,53
Tbgt,4,2,53
Zbbt,4,2,53
TVjt,4,2,53
VVbt,4,2,53
Hbbb,4,2,53
HTZb,4,2,52
Hbjt,4,2,52
Hbmt,4,2,52
TTTg,4,2,52
TTTe,4,2,52
HVVt,4,2,52
HTTm,4,2,52
bgtt,4,2,52
HTVV,4,2,52
TVZt,4,2,51
bett,4,2,51
Tbbb,4,2,51
HHTj,4,2,51
HZbt,4,2,51
Tbjt,4,2,51
Hgtt,4,2,51
TTTZ,4,2,51
Hett,4,2,51
HHVb,4,2,51
HHjt,4,2,51
HHmt,4,2,51
TTTj,4,2,51
TTTm,4,2,51
HHZt,4,2,50
HTgt,4,2,50
Vbbt,4,2,50
HTVb,4,2,50
HHTZ,4,2,50
HTbb,4,2,50
TTet,4,2,49
HHHV,4,2,49
VVtt,4,2,49
bjtt,4,2,49
bmtt,4,2,49
TTTV,4,2,49
TZbt,4,2,49
bbbt,4,2,49
HHbb,4,2,49
TVVt,4,2,48
gttt,4,2,48
Zbtt,4,2,48
ettt,4,2,48
HTjt,4,2,48
Hjtt,4,2,48
Hmtt,4,2,48
TTmt,4,2,48
HVbt,4,2,48
HZtt,4,2,48
Tgtt,4,2,47
HHTV,4,2,47
TTTb,4,2,47
HTZt,4,2,47
HHVt,4,2,47
TVbt,4,2,47
HHHb,4,2,46
Tbbt,4,2,46
HHTb,4,2,46
Hbbt,4,2,46
jttt,4,2,46
mttt,4,2,46
Zttt,4,2,46
Tjtt,4,2,45
Vbtt,4,2,45
TTTT,4,2,45
HTTT,4,2,45
HHHH,4,2,45
HVtt,4,2,44
HTVt,4,2,44
TZtt,4,2,44
HHbt,4,2,44
HHHT,4,2,43
bbtt,4,2,43
HTbt,4,2,43
HHHt,4,2,43
Vttt,4,2,42
TVtt,4,2,42
TTTt,4,2,42
Hbtt,4,2,41
HHTt,4,2,41
Tbtt,4,2,40
HHtt,4,2,40
bttt,4,2,39
HTtt,4,2,39
Httt,4,2,38
tttt,4,2,37
Tttt,4,2,37
